"school_year","school_year_offset","sis_user_id","grade_level","course_id","course_name","course_track","section_id","assessment_window","sequence_index","attendance_category","attendance_probability","score","posterior_readiness_after","is_present_bool","next_sequence_index","next_assessment_window","next_score","next_present","next_readiness","support_risk_next","support_risk_next_45","current_absent","current_readiness_missing","current_readiness","current_readiness_z","sequence_z","readiness_below_45","readiness_45_to_60","readiness_above_60","semester_sin","semester_cos","annual_sin","annual_cos"
"2018-2019",0,"SYN-SIS-000008",11,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y00-SEC-026","beginning_of_year",1,"normal",0.9429,62.75,61.4839,TRUE,2,"end_of_year",67.58,TRUE,66.4736,0,0,0,0,61.4839,0.656274885401682,-1.57784939445842,0,15,1.4839,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000008",11,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y00-SEC-026","end_of_year",2,"normal",0.9429,67.58,66.4736,TRUE,3,"beginning_of_year",67.36,TRUE,67.0342,0,0,0,0,66.4736,0.935439292655946,-1.31459713749539,0,15,6.4736,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000008",12,"MATH-BEYOND-CORE","Beyond Core Math Sequence","beyond_core","Y01-SEC-024","beginning_of_year",3,"normal",0.9429,67.36,67.0342,TRUE,4,"end_of_year",72.55,TRUE,71.4928,0,0,0,0,67.0342,0.966803816917272,-1.05134488053236,0,15,7.0342,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2018-2019",0,"SYN-SIS-000009",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-024","beginning_of_year",1,"at_risk",0.708,0,NA,FALSE,2,"end_of_year",0,FALSE,NA,1,1,1,1,60.6194,0.60790772303294,-1.57784939445842,0,15,0.619399999999999,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000009",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-024","end_of_year",2,"at_risk",0.708,0,NA,FALSE,3,"beginning_of_year",83.53,TRUE,79.318,0,0,1,1,62.59675,0.718536767000357,-1.31459713749539,0,15,2.59675,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000009",12,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y01-SEC-023","beginning_of_year",3,"at_risk",0.708,83.53,79.318,TRUE,4,"end_of_year",79.54,TRUE,78.9718,0,0,0,0,79.318,1.65405951281681,-1.05134488053236,0,15,19.318,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2018-2019",0,"SYN-SIS-000010",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-023","beginning_of_year",1,"normal",0.9258,0,NA,FALSE,2,"end_of_year",70.05,TRUE,67.9297,0,0,1,1,54.52985,0.267208759929908,-1.57784939445842,0,9.52985,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000011",9,"MATH-AP-PRECALC","AP Precalculus","ap","Y00-SEC-018","beginning_of_year",1,"high",0.9686,0,NA,FALSE,2,"end_of_year",47.07,TRUE,47.6798,1,0,1,1,37.06035,-0.710177177607089,-1.57784939445842,7.93965,0,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000011",9,"MATH-AP-PRECALC","AP Precalculus","ap","Y00-SEC-018","end_of_year",2,"high",0.9686,47.07,47.6798,TRUE,3,"beginning_of_year",42.96,TRUE,43.8115,1,1,0,0,47.6798,-0.116038759542619,-1.31459713749539,0,2.6798,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000011",10,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y01-SEC-020","beginning_of_year",3,"high",0.9686,42.96,43.8115,TRUE,4,"end_of_year",46.99,TRUE,46.7059,1,0,0,0,43.8115,-0.332462928647308,-1.05134488053236,1.1885,0,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000011",10,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y01-SEC-020","end_of_year",4,"high",0.9686,46.99,46.7059,TRUE,5,"beginning_of_year",49.71,TRUE,49.4274,1,0,0,0,46.7059,-0.170526647837492,-0.788092623569334,0,1.7059,0,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000011",11,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y02-SEC-022","beginning_of_year",5,"high",0.9686,49.71,49.4274,TRUE,6,"end_of_year",54.86,TRUE,54.1372,0,0,0,0,49.4274,-0.0182637995014239,-0.524840366606305,0,4.4274,0,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2020-2021",2,"SYN-SIS-000011",11,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y02-SEC-022","end_of_year",6,"high",0.9686,54.86,54.1372,TRUE,7,"beginning_of_year",48.01,TRUE,49.0597,1,0,0,0,54.1372,0.24524072487602,-0.261588109643275,0,9.1372,0,-7.34788079488412e-16,1,3.67394039744206e-16,-1
"2021-2022",3,"SYN-SIS-000011",12,"MATH-BEYOND-CORE","Beyond Core Math Sequence","beyond_core","Y03-SEC-025","beginning_of_year",7,"high",0.9686,48.01,49.0597,TRUE,8,"end_of_year",57.23,TRUE,56.1793,0,0,0,0,49.0597,-0.0388359285968389,0.00166414731975435,0,4.0597,0,8.57252759403147e-16,-1,-1,-4.28626379701574e-16
"2018-2019",0,"SYN-SIS-000012",9,"MATH-GEOM","Geometry","regular","Y00-SEC-008","beginning_of_year",1,"high",0.9811,49.92,49.1566,TRUE,2,"end_of_year",56.88,TRUE,55.5848,0,0,0,0,49.1566,-0.0334145543533097,-1.57784939445842,0,4.1566,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000012",9,"MATH-GEOM","Geometry","regular","Y00-SEC-008","end_of_year",2,"high",0.9811,56.88,55.5848,TRUE,3,"beginning_of_year",52.19,TRUE,52.5122,0,0,0,0,55.5848,0.326231244534771,-1.31459713749539,0,10.5848,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000012",10,"MATH-ALG2","Algebra 2","regular","Y01-SEC-008","beginning_of_year",3,"high",0.9811,52.19,52.5122,TRUE,4,"end_of_year",53.46,TRUE,53.1799,0,0,0,0,52.5122,0.154325006137783,-1.05134488053236,0,7.5122,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000012",10,"MATH-ALG2","Algebra 2","regular","Y01-SEC-008","end_of_year",4,"high",0.9811,53.46,53.1799,TRUE,5,"beginning_of_year",48.62,TRUE,49.2207,1,0,0,0,53.1799,0.191681575615642,-0.788092623569334,0,8.1799,0,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000012",11,"MATH-PRECALC","Precalculus","regular","Y02-SEC-014","beginning_of_year",5,"high",0.9811,48.62,49.2207,TRUE,6,"end_of_year",59.91,TRUE,58.2367,0,0,0,0,49.2207,-0.0298282789249274,-0.524840366606305,0,4.2207,0,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2020-2021",2,"SYN-SIS-000012",11,"MATH-PRECALC","Precalculus","regular","Y02-SEC-014","end_of_year",6,"high",0.9811,59.91,58.2367,TRUE,7,"beginning_of_year",52.83,TRUE,53.6259,0,0,0,0,58.2367,0.474600102702112,-0.261588109643275,0,13.2367,0,-7.34788079488412e-16,1,3.67394039744206e-16,-1
"2021-2022",3,"SYN-SIS-000012",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y03-SEC-019","beginning_of_year",7,"high",0.9811,52.83,53.6259,TRUE,8,"end_of_year",55.97,TRUE,55.6705,0,0,0,0,53.6259,0.216634443650875,0.00166414731975435,0,8.6259,0,8.57252759403147e-16,-1,-1,-4.28626379701574e-16
"2018-2019",0,"SYN-SIS-000013",10,"MATH-ALG2-H","Honors Algebra 2","honors","Y00-SEC-015","beginning_of_year",1,"normal",0.9348,68.63,65.8625,TRUE,2,"end_of_year",70.55,TRUE,69.4719,0,0,0,0,65.8625,0.901249387596908,-1.57784939445842,0,15,5.8625,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000013",10,"MATH-ALG2-H","Honors Algebra 2","honors","Y00-SEC-015","end_of_year",2,"normal",0.9348,70.55,69.4719,TRUE,3,"beginning_of_year",75.49,TRUE,74.2098,0,0,0,0,69.4719,1.10318858465155,-1.31459713749539,0,15,9.47190000000001,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000013",11,"MATH-AP-PRECALC","AP Precalculus","ap","Y01-SEC-016","beginning_of_year",3,"normal",0.9348,75.49,74.2098,TRUE,4,"end_of_year",74.2,TRUE,73.7449,0,0,0,0,74.2098,1.36826525161148,-1.05134488053236,0,15,14.2098,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000013",11,"MATH-AP-PRECALC","AP Precalculus","ap","Y01-SEC-016","end_of_year",4,"normal",0.9348,74.2,73.7449,TRUE,5,"beginning_of_year",71.01,TRUE,71.0303,0,0,0,0,73.7449,1.34225496383215,-0.788092623569334,0,15,13.7449,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000013",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y02-SEC-018","beginning_of_year",5,"normal",0.9348,71.01,71.0303,TRUE,6,"end_of_year",86.5,TRUE,83.7587,0,0,0,0,71.0303,1.19037815762488,-0.524840366606305,0,15,11.0303,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2018-2019",0,"SYN-SIS-000014",10,"MATH-ALG2","Algebra 2","regular","Y00-SEC-010","beginning_of_year",1,"normal",0.9298,0,NA,FALSE,2,"end_of_year",54.28,TRUE,53.1186,0,0,1,1,39.3256,-0.583440665685988,-1.57784939445842,5.6744,0,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000014",10,"MATH-ALG2","Algebra 2","regular","Y00-SEC-010","end_of_year",2,"normal",0.9298,54.28,53.1186,TRUE,3,"beginning_of_year",53.48,TRUE,53.3185,0,0,0,0,53.1186,0.188251954964163,-1.31459713749539,0,8.1186,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000014",11,"MATH-PRECALC","Precalculus","regular","Y01-SEC-019","beginning_of_year",3,"normal",0.9298,53.48,53.3185,TRUE,4,"end_of_year",56.78,TRUE,56.1328,0,0,0,0,53.3185,0.199435987072331,-1.05134488053236,0,8.3185,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000014",11,"MATH-PRECALC","Precalculus","regular","Y01-SEC-019","end_of_year",4,"normal",0.9298,56.78,56.1328,TRUE,5,"beginning_of_year",59.23,TRUE,58.7553,0,0,0,0,56.1328,0.356890822300035,-0.788092623569334,0,11.1328,0,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000014",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y02-SEC-020","beginning_of_year",5,"normal",0.9298,59.23,58.7553,TRUE,6,"end_of_year",54.23,TRUE,54.8771,0,0,0,0,58.7553,0.503614805309896,-0.524840366606305,0,13.7553,0,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2018-2019",0,"SYN-SIS-000015",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-022","beginning_of_year",1,"high",0.9941,41.18,43.261,TRUE,2,"end_of_year",50.01,TRUE,49.2264,0,0,0,0,43.261,-0.363262376749092,-1.57784939445842,1.739,0,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000015",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-022","end_of_year",2,"high",0.9941,50.01,49.2264,TRUE,3,"beginning_of_year",41.6,TRUE,42.9501,1,1,0,0,49.2264,-0.0295093745576611,-1.31459713749539,0,4.2264,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000015",12,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y01-SEC-022","beginning_of_year",3,"high",0.9941,41.6,42.9501,TRUE,4,"end_of_year",48.41,TRUE,47.8755,1,0,0,0,42.9501,-0.380656651798764,-1.05134488053236,2.0499,0,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2018-2019",0,"SYN-SIS-000016",9,"MATH-ALG2-H","Honors Algebra 2","honors","Y00-SEC-015","beginning_of_year",1,"high",0.9885,81.41,76.3809,TRUE,2,"end_of_year",81.33,TRUE,79.9247,0,0,0,0,76.3809,1.48973424665922,-1.57784939445842,0,15,16.3809,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000016",9,"MATH-ALG2-H","Honors Algebra 2","honors","Y00-SEC-015","end_of_year",2,"high",0.9885,81.33,79.9247,TRUE,3,"beginning_of_year",78.74,TRUE,78.2924,0,0,0,0,79.9247,1.68800324608357,-1.31459713749539,0,15,19.9247,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000016",10,"MATH-AP-PRECALC","AP Precalculus","ap","Y01-SEC-014","beginning_of_year",3,"high",0.9885,78.74,78.2924,TRUE,4,"end_of_year",84.96,TRUE,83.3319,0,0,0,0,78.2924,1.5966791059627,-1.05134488053236,0,15,18.2924,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000016",10,"MATH-AP-PRECALC","AP Precalculus","ap","Y01-SEC-014","end_of_year",4,"high",0.9885,84.96,83.3319,TRUE,5,"beginning_of_year",84.41,TRUE,83.5737,0,0,0,0,83.3319,1.87862973032044,-0.788092623569334,0,15,23.3319,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000016",11,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y02-SEC-023","beginning_of_year",5,"high",0.9885,84.41,83.5737,TRUE,6,"end_of_year",84.22,TRUE,83.4451,0,0,0,0,83.5737,1.89215798926869,-0.524840366606305,0,15,23.5737,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2020-2021",2,"SYN-SIS-000016",11,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y02-SEC-023","end_of_year",6,"high",0.9885,84.22,83.4451,TRUE,7,"beginning_of_year",74.22,TRUE,75.0682,0,0,0,0,83.4451,1.88496305915809,-0.261588109643275,0,15,23.4451,-7.34788079488412e-16,1,3.67394039744206e-16,-1
"2021-2022",3,"SYN-SIS-000016",12,"MATH-BEYOND-CORE","Beyond Core Math Sequence","beyond_core","Y03-SEC-025","beginning_of_year",7,"high",0.9885,74.22,75.0682,TRUE,8,"end_of_year",87.94,TRUE,85.5544,0,0,0,0,75.0682,1.41629113035911,0.00166414731975435,0,15,15.0682,8.57252759403147e-16,-1,-1,-4.28626379701574e-16
"2018-2019",0,"SYN-SIS-000017",9,"MATH-ALG1","Algebra 1","regular","Y00-SEC-001","beginning_of_year",1,"high",0.9973,15.53,20.1029,TRUE,2,"end_of_year",34.89,TRUE,33.175,1,1,0,0,20.1029,-1.65891487281799,-1.57784939445842,24.8971,0,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000017",9,"MATH-ALG1","Algebra 1","regular","Y00-SEC-001","end_of_year",2,"high",0.9973,34.89,33.175,TRUE,3,"beginning_of_year",30.43,TRUE,31.173,1,1,0,0,33.175,-0.927555262406847,-1.31459713749539,11.825,0,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000017",10,"MATH-GEOM","Geometry","regular","Y01-SEC-005","beginning_of_year",3,"high",0.9973,30.43,31.173,TRUE,4,"end_of_year",42.57,TRUE,41.1651,1,1,0,0,31.173,-1.03956342789235,-1.05134488053236,13.827,0,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000017",10,"MATH-GEOM","Geometry","regular","Y01-SEC-005","end_of_year",4,"high",0.9973,42.57,41.1651,TRUE,5,"beginning_of_year",35.14,TRUE,36.2478,1,1,0,0,41.1651,-0.480524072074304,-0.788092623569334,3.8349,0,0,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000017",11,"MATH-ALG2","Algebra 2","regular","Y02-SEC-008","beginning_of_year",5,"high",0.9973,35.14,36.2478,TRUE,6,"end_of_year",39.56,TRUE,39.3333,1,1,0,0,36.2478,-0.755637834382938,-0.524840366606305,8.7522,0,0,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2020-2021",2,"SYN-SIS-000017",11,"MATH-ALG2","Algebra 2","regular","Y02-SEC-008","end_of_year",6,"high",0.9973,39.56,39.3333,TRUE,7,"beginning_of_year",40.64,TRUE,40.6945,1,1,0,0,39.3333,-0.583009865049505,-0.261588109643275,5.6667,0,0,-7.34788079488412e-16,1,3.67394039744206e-16,-1
"2021-2022",3,"SYN-SIS-000017",12,"MATH-PRECALC","Precalculus","regular","Y03-SEC-018","beginning_of_year",7,"high",0.9973,40.64,40.6945,TRUE,8,"end_of_year",45.62,TRUE,45.0813,1,0,0,0,40.6945,-0.506853264220897,0.00166414731975435,4.3055,0,0,8.57252759403147e-16,-1,-1,-4.28626379701574e-16
"2018-2019",0,"SYN-SIS-000018",10,"MATH-GEOM","Geometry","regular","Y00-SEC-008","beginning_of_year",1,"normal",0.9273,89.19,82.6115,TRUE,2,"end_of_year",95.72,TRUE,92.8523,0,0,0,0,82.6115,1.83832469414874,-1.57784939445842,0,15,22.6115,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000018",10,"MATH-GEOM","Geometry","regular","Y00-SEC-008","end_of_year",2,"normal",0.9273,95.72,92.8523,TRUE,3,"beginning_of_year",89.41,TRUE,89.007,0,0,0,0,92.8523,2.41127835104383,-1.31459713749539,0,15,32.8523,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000018",11,"MATH-ALG2-H","Honors Algebra 2","honors","Y01-SEC-010","beginning_of_year",3,"normal",0.9273,89.41,89.007,TRUE,4,"end_of_year",99.57,TRUE,97.0833,0,0,0,0,89.007,2.19614098903513,-1.05134488053236,0,15,29.007,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000018",11,"MATH-ALG2-H","Honors Algebra 2","honors","Y01-SEC-010","end_of_year",4,"normal",0.9273,99.57,97.0833,TRUE,5,"beginning_of_year",89.69,TRUE,89.89,0,0,0,0,97.0833,2.6479949085709,-0.788092623569334,0,15,37.0833,-4.89858719658941e-16,1,-2.44929359829471e-16,1
