"account_id","segment","region","implementation_complexity","contract_value","tenure_months","product_usage_rate","active_seats_ratio","training_completion_rate","support_tickets_90d","avg_response_hours","prior_incident","escalation_flag"
"ACCT-0031","SMB","South","High",11035,19,0.3788,0.545,0.2617,9,23.89,1,1
"ACCT-0032","Enterprise","North","Low",53329,62,0.5853,0.5203,0.5116,4,11.1,0,0
"ACCT-0033","SMB","East","Low",20496,57,0.5872,0.7037,0.6652,5,14.3,0,1
"ACCT-0034","Mid-Market","North","Low",86946,96,0.3605,0.4192,NA,2,6.06,0,0
"ACCT-0035","SMB","North","Medium",22535,30,0.6105,0.5459,0.454,5,17.96,1,1
"ACCT-0036","Enterprise","East","High",64401,54,0.6779,0.4934,0.4061,5,23.88,0,1
"ACCT-0037","Mid-Market","East","Medium",37728,57,0.7659,0.99,0.6334,3,19.4,0,0
"ACCT-0038","Mid-Market","North","Medium",40630,28,0.4484,0.3615,0.3796,4,16.64,1,0
"ACCT-0039","Enterprise","East","Medium",82342,30,0.4653,0.5421,0.5216,3,15.08,0,0
"ACCT-0040","SMB","North","Medium",15171,30,0.4121,0.3968,0.5106,4,27.73,1,1
"ACCT-0041","Strategic","West","Medium",141606,35,0.7716,0.8205,0.812,1,4.2,0,0
"ACCT-0042","Enterprise","North","Medium",46872,16,0.7414,0.6244,0.9425,1,9.72,0,0
"ACCT-0043","SMB","South","Low",20184,28,0.9358,0.8064,0.8275,1,32.81,0,0
"ACCT-0044","Mid-Market","East","High",28118,29,0.3622,0.3647,0.4693,6,7.63,1,0
"ACCT-0045","Strategic","North","Low",212695,14,0.8655,0.99,0.7963,1,14.06,0,0
"ACCT-0046","SMB","East","Medium",17404,21,0.6685,0.4298,0.5474,2,17.36,0,1
"ACCT-0047","Enterprise","West","Low",64834,44,0.9397,0.7888,0.7864,0,6.29,0,0
"ACCT-0048","Strategic","West","Low",173049,39,0.9462,0.99,0.8148,2,9.1,0,0
"ACCT-0049","Mid-Market","West","Medium",55942,39,0.6205,0.5973,0.6472,3,9.82,0,0
"ACCT-0050","SMB","West","High",16919,37,0.3335,0.5277,NA,8,21.04,1,0
"ACCT-0051","Mid-Market","West","Medium",42599,9,0.6455,0.5528,0.6391,1,8.26,0,0
"ACCT-0052","SMB","East","Low",11681,22,0.5017,0.5259,0.3981,4,22.8,1,1
"ACCT-0053","Enterprise","East","Low",84520,11,0.4304,0.3317,0.3126,2,11.45,0,0
"ACCT-0054","SMB","West","Low",18823,60,0.4471,0.5628,0.3722,0,8.2,0,0
"ACCT-0055","Strategic","South","Low",356650,9,0.8969,0.7459,0.6921,0,17.84,0,0
"ACCT-0056","Mid-Market","North","High",47822,8,0.3361,0.3441,0.3629,0,20.04,0,0
"ACCT-0057","Mid-Market","North","Medium",26468,40,0.7461,0.6472,0.6609,5,15.32,0,1
"ACCT-0058","Mid-Market","East","Medium",26822,17,0.4937,0.6094,0.1868,2,13.91,0,1
"ACCT-0059","SMB","East","Low",6305,22,0.4726,0.2706,0.2599,2,18.77,0,0
"ACCT-0060","Enterprise","South","Low",163785,38,0.5592,0.6803,0.4137,1,26.39,0,0
"ACCT-0061","Strategic","West","Medium",383812,96,0.9002,0.7395,0.6336,2,17.56,0,0
"ACCT-0062","Strategic","South","Low",182275,14,0.8186,0.6643,0.7103,2,6.77,1,0
"ACCT-0063","Enterprise","West","Low",82171,22,0.7038,0.7187,0.499,0,11.43,0,0
"ACCT-0064","SMB","South","Low",8258,16,0.5324,0.765,0.281,0,8,0,0
"ACCT-0065","SMB","East","High",10684,48,0.3492,0.4863,0.4447,2,15.78,0,1
"ACCT-0066","SMB","South","Low",7478,19,0.5158,0.5573,0.3902,6,16.58,1,1
"ACCT-0067","Strategic","East","Medium",209147,12,0.7732,0.6005,0.7725,2,14.17,0,0
"ACCT-0068","SMB","North","Low",13847,50,0.7545,0.7572,0.7411,2,7.72,1,0
"ACCT-0069","Enterprise","North","Medium",78981,13,0.6565,0.6215,0.6601,1,16.6,0,0
"ACCT-0070","SMB","North","Medium",8793,27,0.594,0.6202,0.4709,2,12.1,0,0
"ACCT-0071","SMB","West","High",16110,39,0.7285,0.596,0.538,5,13.62,1,1
"ACCT-0072","Mid-Market","North","Low",44534,70,0.7714,0.5538,0.5981,0,9.62,0,0
"ACCT-0073","SMB","South","Low",19780,21,0.5509,0.6405,0.5449,2,12.63,0,0
"ACCT-0074","Strategic","North","Medium",124863,47,0.4579,0.6533,0.6718,5,18.88,0,0
"ACCT-0075","Enterprise","West","Low",70680,20,0.9214,0.8006,0.5559,2,9.76,0,0
"ACCT-0076","Mid-Market","South","Medium",62759,83,0.4741,0.4605,NA,2,8.71,0,0
"ACCT-0077","SMB","East","Low",20820,1,0.8539,0.8602,0.662,4,22.8,0,0
"ACCT-0078","SMB","West","Medium",20275,13,0.6926,0.6641,0.6319,3,10.36,0,0
"ACCT-0079","Strategic","East","Medium",175673,17,0.4488,0.488,0.401,3,13.42,0,0
"ACCT-0080","SMB","South","Low",18260,7,0.7231,0.724,0.6092,3,9.71,0,0
"ACCT-0081","Mid-Market","South","High",31320,22,0.6932,0.5678,0.3679,1,13.79,0,0
"ACCT-0082","SMB","East","High",8609,23,0.5426,0.4222,0.459,2,7.65,0,0
"ACCT-0083","Mid-Market","South","Low",29784,30,0.6828,0.6891,NA,3,8.99,1,0
"ACCT-0084","Mid-Market","West","Medium",34336,10,0.738,0.8292,0.6715,3,8.25,1,1
"ACCT-0085","Enterprise","North","Medium",135386,27,0.4829,0.5899,0.4809,3,6.67,0,0
"ACCT-0086","SMB","South","Medium",14734,33,0.4781,0.4,0.4522,2,16.63,0,0
"ACCT-0087","Enterprise","East","High",168172,37,0.5197,0.4218,0.418,3,19.96,1,0
"ACCT-0088","Mid-Market","North","Low",62552,23,0.8363,0.7758,0.6371,2,9.11,0,0
"ACCT-0089","Mid-Market","North","Medium",54577,21,0.7125,0.6645,NA,5,17.41,1,0
"ACCT-0090","Mid-Market","North","Low",30948,31,0.8528,0.7824,0.7327,2,5.71,0,0
"ACCT-0091","Enterprise","East","High",140427,19,0.6527,0.4917,0.5225,3,21.43,0,0
"ACCT-0092","Mid-Market","East","Low",66451,45,0.4918,0.3892,NA,1,11.13,0,1
"ACCT-0093","SMB","East","Low",16835,23,0.6751,0.7468,NA,4,2.85,0,0
"ACCT-0094","SMB","North","Low",6087,58,0.6862,0.664,NA,2,7.54,0,0
"ACCT-0095","SMB","North","Medium",23559,34,0.7573,0.7015,0.9193,1,12.83,0,0
"ACCT-0096","Mid-Market","South","Medium",28129,36,0.7089,0.7563,0.418,1,5.58,0,0
"ACCT-0097","Mid-Market","West","Low",35284,6,0.5892,0.6187,0.6057,1,7.19,0,0
"ACCT-0098","SMB","North","Low",18378,43,0.4912,0.4345,0.5468,4,13.7,0,0
"ACCT-0099","Enterprise","South","Medium",96118,36,0.9018,0.7992,0.7719,2,12.79,0,0
"ACCT-0100","Mid-Market","North","Medium",62892,19,0.2929,0.4099,0.3432,3,7.42,0,0
"ACCT-0101","Mid-Market","East","Low",63293,19,0.7688,0.6376,0.6151,0,6.52,0,0
"ACCT-0102","Enterprise","East","Medium",116963,54,0.9487,0.7784,0.7896,0,14.65,0,0
"ACCT-0103","Enterprise","East","High",91495,25,0.9672,0.8299,0.7593,3,23.43,1,0
"ACCT-0104","Mid-Market","South","Medium",24399,11,0.4633,0.4843,0.5543,5,9.74,1,1
"ACCT-0105","SMB","South","Medium",21790,8,0.5655,0.4835,NA,3,8.02,0,0
"ACCT-0106","Mid-Market","North","Low",47769,39,0.99,0.8349,0.6348,2,14.3,0,0
"ACCT-0107","Mid-Market","West","Medium",53776,30,0.6267,0.7814,0.4217,1,19.66,0,0
"ACCT-0108","Mid-Market","East","Low",56088,60,0.9071,0.8172,0.7448,6,5.99,0,0
"ACCT-0109","Enterprise","North","High",34956,5,0.3106,0.4898,0.1493,8,53.44,1,1
"ACCT-0110","Strategic","North","Low",81642,22,0.7247,0.5742,0.6268,1,6.51,0,0
"ACCT-0111","Mid-Market","North","Low",87817,42,0.9177,0.6689,0.8646,0,7.62,0,0
"ACCT-0112","Enterprise","South","Medium",94985,43,0.5146,0.6452,NA,4,10.89,1,0
"ACCT-0113","Mid-Market","South","Low",30362,11,0.6607,0.795,0.6291,2,10.08,1,0
"ACCT-0114","SMB","East","Low",11047,11,0.5133,0.5811,0.6229,2,15.28,0,0
"ACCT-0115","Mid-Market","West","Low",61123,28,0.6776,0.6784,0.6324,3,11.69,0,0
"ACCT-0116","Enterprise","South","Medium",80350,21,0.99,0.99,0.667,2,10.15,0,0
"ACCT-0117","SMB","South","Low",12923,35,0.5913,0.4571,NA,2,12.06,0,1
"ACCT-0118","Enterprise","West","Medium",95208,26,0.9082,0.6338,0.6595,4,10.5,0,0
"ACCT-0119","Enterprise","West","High",65174,15,0.7243,0.6505,0.506,1,7.56,0,0
"ACCT-0120","Strategic","South","Low",389993,12,0.99,0.8641,0.6084,1,13.31,0,0
"ACCT-0121","SMB","South","Medium",7410,46,0.573,0.6184,0.9191,5,6.97,0,0
"ACCT-0122","Mid-Market","North","High",32505,34,0.6237,0.6303,0.6273,5,16.78,0,0
"ACCT-0123","SMB","West","Low",11425,46,0.6218,0.5349,0.4798,5,35.7,1,0
"ACCT-0124","SMB","North","High",9210,87,0.2734,0.4655,0.1242,4,38.58,1,1
"ACCT-0125","SMB","South","Low",24947,14,0.9015,0.7465,0.8907,0,6.44,0,0
"ACCT-0126","Strategic","South","Medium",291015,25,0.7786,0.6431,0.6478,1,6.38,0,0
"ACCT-0127","Enterprise","West","High",40144,12,0.4192,0.3453,0.2531,6,16.5,1,1
"ACCT-0128","Mid-Market","East","Medium",37571,23,0.6534,0.6161,0.5984,0,13.38,0,0
"ACCT-0129","SMB","East","Low",8148,48,0.6594,0.6318,0.6063,3,13.14,0,0
"ACCT-0130","Enterprise","North","High",110699,20,0.99,0.7378,0.825,2,9.17,0,0
"ACCT-0131","SMB","South","Low",23525,15,0.75,0.6447,0.6211,1,4.11,0,0
"ACCT-0132","SMB","North","Low",15052,39,0.5663,0.419,0.4736,1,9.06,0,0
"ACCT-0133","SMB","North","Low",24339,19,0.335,0.414,0.3015,5,18.17,0,1
"ACCT-0134","Mid-Market","West","High",64922,29,0.7405,0.6147,NA,1,11.21,0,0
"ACCT-0135","SMB","North","High",14201,39,0.5808,0.5983,0.6042,4,29.48,0,0
"ACCT-0136","Mid-Market","West","High",36490,23,0.2783,0.5218,0.2929,8,31.75,0,1
"ACCT-0137","Enterprise","South","Low",47073,44,0.7635,0.7856,0.5833,3,7.75,0,0
"ACCT-0138","SMB","East","Medium",8274,31,0.7528,0.62,NA,0,6.23,0,0
"ACCT-0139","Mid-Market","East","Low",60227,19,0.7011,0.5394,0.7052,5,16.29,0,0
"ACCT-0140","Mid-Market","North","Medium",41425,74,0.332,0.4838,0.3536,3,11.47,0,0
"ACCT-0141","SMB","East","Low",6425,34,0.5909,0.5871,0.7017,5,23.47,1,0
"ACCT-0142","SMB","West","Low",14970,12,0.6757,0.7244,0.297,0,6.64,0,0
"ACCT-0143","Strategic","East","High",109689,18,0.3595,0.2213,0.2575,2,12.29,0,0
"ACCT-0144","Enterprise","North","Low",57109,28,0.4852,0.5964,0.3739,4,17.59,1,1
"ACCT-0145","Mid-Market","West","Medium",49511,24,0.7258,0.6742,NA,1,6.2,0,0
"ACCT-0146","Strategic","East","Medium",168880,9,0.6388,0.6678,0.4764,2,15.64,0,0
"ACCT-0147","Mid-Market","West","Medium",22500,17,0.6632,0.7474,NA,2,10.54,0,0
"ACCT-0148","SMB","South","Low",17859,28,0.9788,0.8141,0.7319,0,8.16,0,0
"ACCT-0149","Strategic","East","Low",95368,28,0.7176,0.7114,0.7105,2,13.89,0,0
"ACCT-0150","Enterprise","South","Low",79539,59,0.8957,0.9626,0.8743,0,8.48,0,0
"ACCT-0151","Enterprise","East","Low",141241,10,0.7135,0.72,0.602,2,7.92,0,0
"ACCT-0152","Enterprise","East","Low",128201,9,0.9404,0.8926,0.8914,0,12.08,0,0
"ACCT-0153","Mid-Market","East","Medium",25364,20,0.4153,0.3561,0.5115,5,8.41,0,0
"ACCT-0154","SMB","West","Low",29878,23,0.4749,0.4292,0.3085,8,28.43,1,1
"ACCT-0155","Mid-Market","North","Low",63286,28,0.7936,0.6913,0.8253,3,6.08,0,0
"ACCT-0156","SMB","East","Medium",10673,13,0.431,0.4229,0.3747,5,18.1,0,0
"ACCT-0157","Mid-Market","North","Medium",25348,90,0.3241,0.3954,0.374,4,9.06,0,0
"ACCT-0158","Mid-Market","West","Medium",39524,11,0.8683,0.9261,0.7635,3,9.31,0,0
"ACCT-0159","SMB","East","Low",14510,47,0.9156,0.7606,0.5083,6,23.22,1,1
"ACCT-0160","Strategic","South","Low",99599,14,0.6925,0.8194,0.7198,1,15.14,0,0
"ACCT-0161","Mid-Market","North","Medium",48830,33,0.6423,0.8327,0.6703,1,19.29,0,0
"ACCT-0162","Enterprise","North","Medium",105774,55,0.6187,0.6893,0.6019,2,7.41,0,0
"ACCT-0163","Enterprise","North","High",69017,7,0.6024,0.5622,0.4056,2,17.34,0,0
"ACCT-0164","SMB","North","Medium",19614,31,0.4887,0.3816,0.5635,4,18.53,0,0
"ACCT-0165","Enterprise","North","Medium",61228,27,0.7704,0.764,0.606,3,8.95,0,0
"ACCT-0166","Mid-Market","North","Medium",54458,22,0.6813,0.5742,0.695,0,7.05,0,0
"ACCT-0167","Mid-Market","North","High",41637,44,0.2662,0.3473,0.3582,7,20.88,0,0
"ACCT-0168","SMB","North","Medium",25765,32,0.6149,0.5957,0.5246,2,28.93,1,1
"ACCT-0169","SMB","West","Medium",12241,13,0.822,0.9659,0.7387,1,10.25,0,0
"ACCT-0170","Enterprise","East","Medium",63581,10,0.6721,0.524,0.6078,3,13.88,0,0
"ACCT-0171","Mid-Market","East","Medium",40484,36,0.7087,0.6207,0.7235,3,10.56,1,0
"ACCT-0172","Mid-Market","South","Medium",34099,16,0.7046,0.7815,0.6614,2,13.27,0,0
"ACCT-0173","Strategic","East","Low",444315,8,0.7559,0.7784,0.5993,1,5.84,1,0
"ACCT-0174","Enterprise","South","High",51944,30,0.5062,0.36,NA,3,31.37,1,0
"ACCT-0175","Enterprise","East","Low",47433,61,0.7724,0.631,0.7244,2,10.46,0,0
"ACCT-0176","SMB","West","High",11997,17,0.5771,0.7343,0.2735,7,14.55,0,1
"ACCT-0177","SMB","South","Medium",12704,21,0.5148,0.5864,0.5738,4,11.75,1,0
"ACCT-0178","Strategic","East","High",234752,22,0.8648,0.8519,0.5273,1,28.76,0,0
"ACCT-0179","SMB","South","Medium",17807,68,0.5349,0.6284,0.6471,3,20.96,0,0
"ACCT-0180","SMB","East","High",5981,40,0.5304,0.4202,0.3809,5,23.88,0,1
"ACCT-0181","SMB","South","Medium",50795,12,0.3363,0.2969,0.2693,2,10.3,0,0
"ACCT-0182","Mid-Market","East","High",21773,38,0.7825,0.7095,0.4019,1,19.45,0,1
"ACCT-0183","SMB","East","Low",15087,11,0.9487,0.8956,NA,2,4.62,1,1
"ACCT-0184","Enterprise","North","Low",68496,39,0.7204,0.9209,0.6122,0,7.73,0,0
"ACCT-0185","Enterprise","South","Medium",48344,23,0.4691,0.5204,0.6028,1,13.61,0,0
"ACCT-0186","Strategic","North","Medium",566109,24,0.8417,0.7837,0.7458,0,8.67,0,0
"ACCT-0187","Mid-Market","West","Medium",46424,3,0.8371,0.6221,0.7222,1,11.65,0,0
"ACCT-0188","SMB","East","Low",14248,26,0.2004,0.3305,0.2995,3,20.32,0,1
"ACCT-0189","SMB","South","Medium",12137,29,0.5571,0.5884,0.4997,2,12.55,0,0
"ACCT-0190","SMB","East","Low",10540,31,0.7607,0.7049,0.6784,3,6.42,0,0
"ACCT-0191","SMB","North","Medium",11688,82,0.3321,0.5723,NA,6,29.33,0,0
"ACCT-0192","SMB","East","Medium",15777,36,0.7377,0.6504,0.6872,2,8.93,0,0
"ACCT-0193","Mid-Market","North","Medium",21759,10,0.8158,0.5908,0.685,2,8.86,0,0
"ACCT-0194","SMB","North","Low",25713,47,0.6026,0.6572,0.4574,5,19.08,1,0
"ACCT-0195","Mid-Market","South","Medium",69798,15,0.7425,0.8079,0.5905,1,13.17,0,1
"ACCT-0196","Enterprise","North","Low",78289,28,0.9419,0.7393,0.8957,2,9.15,0,0
"ACCT-0197","Mid-Market","East","High",18740,40,0.5518,0.4077,0.4551,1,22.05,0,1
"ACCT-0198","Strategic","East","Low",196482,29,0.9353,0.7486,0.8059,4,11.18,0,0
"ACCT-0199","SMB","East","Low",6937,4,0.6451,0.7264,0.7528,3,8.11,0,0
"ACCT-0200","Mid-Market","North","Medium",32028,10,0.6096,0.5543,0.6673,0,7.23,0,0
"ACCT-0201","SMB","West","Low",21355,58,0.4476,0.4106,0.4176,2,13.57,0,0
"ACCT-0202","SMB","North","Low",7376,27,0.5256,0.8194,0.5891,2,4.9,0,1
"ACCT-0203","Enterprise","North","Low",53419,46,0.4,0.2331,0.2981,6,10.79,1,0
"ACCT-0204","Mid-Market","North","Low",25508,13,0.2966,0.2791,0.4295,3,10.36,0,1
"ACCT-0205","Mid-Market","South","Medium",40535,17,0.8216,0.7521,0.4922,2,20.14,0,0
"ACCT-0206","Mid-Market","West","Low",69422,26,0.5535,0.6908,0.4944,5,24,0,0
"ACCT-0207","SMB","West","Medium",12396,13,0.595,0.5609,0.3293,3,12.41,0,0
"ACCT-0208","SMB","South","Low",17154,27,0.4205,0.3969,0.5126,0,7.67,0,0
"ACCT-0209","SMB","East","Medium",18070,18,0.8771,0.7311,0.6109,3,18.11,0,0
"ACCT-0210","Mid-Market","South","High",31893,9,0.3358,0.2476,0.1263,9,18.91,1,1
"ACCT-0211","Mid-Market","West","High",20480,52,0.4708,0.3423,0.3702,0,9.29,1,0
"ACCT-0212","SMB","West","Medium",9848,18,0.7144,0.7312,0.4919,3,23.46,0,0
"ACCT-0213","SMB","West","High",11709,14,0.5796,0.6121,NA,4,9.47,0,1
"ACCT-0214","Mid-Market","North","Low",40557,36,0.9223,0.8595,0.9851,1,21.24,0,0
"ACCT-0215","Strategic","North","Medium",203268,14,0.8673,0.7163,NA,0,7.48,0,0
"ACCT-0216","Enterprise","East","Low",54931,16,0.7667,0.6697,0.7622,3,9.82,0,0
"ACCT-0217","Mid-Market","East","Low",37680,27,0.99,0.9074,0.9746,1,18,0,0
"ACCT-0218","SMB","East","Low",19798,37,0.495,0.2316,NA,3,14.08,0,0
"ACCT-0219","SMB","South","High",34242,35,0.5923,0.6773,0.5893,6,31.14,1,0
"ACCT-0220","Enterprise","South","High",64845,13,0.4869,0.4144,0.3965,2,15.92,0,1
"ACCT-0221","Mid-Market","West","Low",41724,29,0.7584,0.6465,0.7626,4,6.12,0,0
"ACCT-0222","SMB","West","Low",17995,51,0.6714,0.6172,0.7676,3,12.36,0,0
"ACCT-0223","Strategic","West","Medium",102961,17,0.7793,0.5744,0.8428,1,11.1,0,1
"ACCT-0224","Mid-Market","North","Low",14105,10,0.5957,0.4833,0.5623,8,24.19,1,1
"ACCT-0225","SMB","East","Low",18536,25,0.7734,0.6677,0.6326,1,17.9,0,0
"ACCT-0226","SMB","West","Low",30994,50,0.3061,0.4449,0.4733,2,9.1,0,0
"ACCT-0227","Mid-Market","West","Medium",29575,19,0.681,0.6495,0.6105,3,10.65,0,0
"ACCT-0228","Mid-Market","East","Low",28141,55,0.7706,0.7715,0.6646,3,25.91,0,0
"ACCT-0229","Enterprise","North","High",53019,8,0.4014,0.2174,0.3075,6,18.96,0,1
"ACCT-0230","Enterprise","South","Medium",151111,12,0.5624,0.7179,0.5346,3,17.27,0,0
"ACCT-0231","Enterprise","West","Medium",38127,60,0.99,0.8617,0.8932,4,18.97,0,0
"ACCT-0232","SMB","South","Low",11699,18,0.839,0.5848,0.752,0,10.54,0,0
"ACCT-0233","SMB","East","High",15433,42,0.256,0.2518,0,6,22.14,1,0
"ACCT-0234","SMB","West","Low",11660,42,0.5961,0.8857,0.6848,2,15.43,0,0
"ACCT-0235","Mid-Market","North","Low",39787,8,0.7749,0.7132,0.7994,2,8.65,0,0
"ACCT-0236","SMB","West","Low",38200,20,0.8457,0.8526,0.8066,1,5.88,1,0
"ACCT-0237","Mid-Market","East","High",29740,11,0.6233,0.5034,0.4858,1,16.6,0,1
"ACCT-0238","SMB","North","High",7114,32,0.4534,0.5277,0.2527,9,39.1,0,1
"ACCT-0239","Mid-Market","East","Low",26903,11,0.99,0.8889,0.9522,3,10.7,1,0
"ACCT-0240","Strategic","North","Low",253459,51,0.5389,0.3417,0.2145,2,13.86,0,0
"ACCT-0241","SMB","South","Low",12230,26,0.7551,0.5418,0.6734,4,17.9,1,1
"ACCT-0242","Enterprise","North","Medium",96212,9,0.6956,0.7115,0.7034,1,20.29,1,0
"ACCT-0243","Mid-Market","North","Low",27277,15,0.8948,0.9433,0.7113,2,13.2,0,0
"ACCT-0244","Mid-Market","South","Low",41001,30,0.402,0.3881,0.3392,3,22.39,0,0
"ACCT-0245","SMB","North","Low",11801,76,0.7589,0.8438,0.6417,3,17.03,1,0
"ACCT-0246","Mid-Market","South","High",36831,33,0.6728,0.6277,0.5618,4,14.81,0,0
"ACCT-0247","Enterprise","East","Medium",25848,10,0.5449,0.5152,0.5636,4,10.63,1,0
"ACCT-0248","Mid-Market","East","Medium",25906,6,0.6719,0.7444,NA,3,13.41,0,0
"ACCT-0249","Mid-Market","North","Low",75921,26,0.6545,0.5719,0.7984,2,15.01,0,0
"ACCT-0250","SMB","South","Medium",15591,14,0.7677,0.7532,0.7402,1,27.57,0,0
"ACCT-0251","Mid-Market","North","High",35584,26,0.7733,0.698,0.6267,2,28.51,1,0
"ACCT-0252","Mid-Market","East","Medium",23720,35,0.6753,0.6243,0.6888,0,4.64,0,0
"ACCT-0253","Mid-Market","North","Medium",16745,8,0.3387,0.3774,0.3258,3,8.69,0,1
"ACCT-0254","SMB","East","Medium",33210,28,0.2922,0.2437,NA,7,42.99,0,1
"ACCT-0255","SMB","South","Medium",15045,18,0.6892,0.7221,0.5392,3,25.12,0,0
"ACCT-0256","SMB","North","Medium",19854,49,0.2596,0.4037,0.2776,3,15.2,0,1
"ACCT-0257","Mid-Market","East","Low",45064,37,0.4925,0.5883,0.6718,4,11.11,0,0
"ACCT-0258","Enterprise","South","High",34733,21,0.5767,0.7179,0.269,1,9.45,0,0
"ACCT-0259","SMB","North","Low",8598,26,0.6795,0.6176,0.5457,2,30.69,0,0
"ACCT-0260","SMB","North","Medium",31949,60,0.3326,0.5374,0.4646,6,22.92,1,1
"ACCT-0261","Enterprise","South","Low",62353,31,0.6379,0.6626,0.666,3,14.03,0,0
"ACCT-0262","Mid-Market","South","Medium",29003,41,0.7378,0.6547,0.4364,0,8.15,0,0
"ACCT-0263","Enterprise","West","Low",107394,55,0.7879,0.8279,0.5154,1,11.7,1,0
"ACCT-0264","SMB","West","High",13563,28,0.6746,0.6059,NA,2,68.01,0,0
"ACCT-0265","SMB","East","High",11826,15,0.6047,0.6867,0.3999,7,20.12,1,1
"ACCT-0266","SMB","East","Medium",15306,14,0.4158,0.5218,0.4419,5,11.61,0,1
"ACCT-0267","Mid-Market","West","Medium",20326,19,0.4981,0.6976,0.4422,2,23.26,0,0
"ACCT-0268","SMB","West","Medium",24633,96,0.3918,0.2567,0.4746,2,4.55,0,0
"ACCT-0269","SMB","North","Low",11851,12,0.4657,0.4236,0.4034,4,19.4,1,1
"ACCT-0270","Mid-Market","South","Low",70397,34,0.9252,0.6915,0.6501,3,8.68,0,0
"ACCT-0271","SMB","South","Low",16160,41,0.547,0.4902,0.6743,5,23.22,0,0
"ACCT-0272","Enterprise","South","Low",114574,41,0.6984,0.727,0.5334,4,10.87,0,0
"ACCT-0273","SMB","East","Medium",6540,22,0.4591,0.8533,0.5743,3,19.61,0,0
"ACCT-0274","Mid-Market","North","High",42825,15,0.3183,0.4119,0.3038,5,32.1,1,1
"ACCT-0275","SMB","North","Medium",20196,8,0.6636,0.4239,0.6464,0,7.57,0,0
"ACCT-0276","Strategic","West","Medium",382382,20,0.2426,0.4337,0.5394,4,7.17,0,0
"ACCT-0277","Mid-Market","West","Low",40911,45,0.8494,0.6931,0.8449,3,19.24,0,0
"ACCT-0278","SMB","South","High",15440,21,0.6382,0.6241,0.393,4,13,0,0
"ACCT-0279","SMB","West","Medium",58324,43,0.7382,0.6662,0.5381,2,7.17,0,0
"ACCT-0280","Enterprise","East","High",178355,35,0.6847,0.6335,0.5608,3,25.57,0,0
"ACCT-0281","Mid-Market","East","Medium",17766,11,0.8325,0.7063,0.4595,3,20.9,0,0
